Candidate ID,Name,Number of characters in Original Name,Month of Birth,Year of Birth,Gender,State (Location), 10th percentage, 12th percentage,10th Completion Year,12th Completion year,Degree of study,Specialization in study, College percentage, Year of Completion of college, English 1,English 2,English 3,English 4,Quantitative Ability 1,Quantitative Ability 2,Quantitative Ability 3,Quantitative Ability 4,Domain Skills 1,Domain Skills 2,Domain Test 3,Domain Test 4,Analytical Skills 1,Analytical Skills 2,Analytical Skills 3,Performance
782,ShB,14,APR,Y7,A,E,87.04,83.83,Y14,Y16,X,G,76.74,Y20,47.1698113207547,91.0828025477707,73.3333333333333,59.5092024539877,63.9344262295082,66.4670658682635,74.3016759776536,74.5664739884393,92.8571428571429,100,76.5517241379311,89.7810218978102,76.3636363636364,89.873417721519,59.7701149425287,BP
1194,JeB,18,JUN,Y8,B,A,90.54,95.25,Y14,Y16,X,B,77.31,Y20,54.7169811320755,70.7006369426752,56.3636363636364,70.5521472392638,40.9836065573771,55.688622754491,72.0670391061452,53.757225433526,33.9285714285714,56.8345323741007,37.9310344827586,73.7226277372263,58.1818181818182,78.4810126582279,54.0229885057471,BP
1080,SmS,11,DEC,Y7,A,J,84.8,78.8,Y14,Y16,X,B,71.45,Y20,47.1698113207547,69.4267515923567,52.7272727272727,69.3251533742331,60.655737704918,66.4670658682635,74.3016759776536,65.3179190751445,33.9285714285714,52.5179856115108,54.4827586206897,63.5036496350365,80,73.4177215189874,81.6091954022989,BP
1287,PtW,14,AUG,Y8,A,J,87.8,74.4,Y14,Y16,X,B,63.92,Y20,79.2452830188679,91.0828025477707,61.2121212121212,79.1411042944785,55.7377049180328,71.2574850299401,70.9497206703911,72.2543352601156,39.2857142857143,55.3956834532374,58.6206896551724,66.4233576642336,74.5454545454546,55.6962025316456,83.9080459770115,BP
488,PpJ,10,SEP,Y7,A,D,92,92.17,Y14,Y16,X,B,67.84,Y20,52.8301886792453,65.6050955414013,66.0606060606061,71.7791411042945,39.344262295082,65.2694610778443,62.0111731843575,54.9132947976879,55.3571428571429,64.0287769784173,75.1724137931035,75.1824817518248,76.3636363636364,73.4177215189874,77.0114942528736,BP
1413,MjR,18,AUG,Y8,A,N,88.53,82.67,Y14,Y16,X,L,66.1,Y20,52.8301886792453,71.9745222929936,62.4242424242424,68.0981595092025,40.9836065573771,59.2814371257485,57.5418994413408,58.3815028901734,30.3571428571429,59.7122302158273,40.6896551724138,56.2043795620438,96.3636363636364,96.2025316455696,95.4022988505747,LP
140,HhA,18,APR,Y8,A,D,91,94.33,Y14,Y16,X,B,70.24,Y20,54.7169811320755,77.0700636942675,72.1212121212121,58.2822085889571,42.6229508196721,60.4790419161677,69.8324022346369,56.0693641618497,37.5,71.2230215827338,51.7241379310345,51.8248175182482,81.8181818181818,88.6075949367089,77.0114942528736,BP
896,SaG,13,FEB,Y6,A,I,79.22,72.16,Y14,Y16,X,G,78.7,Y20,39.622641509434,63.0573248407643,72.1212121212121,55.8282208588957,57.3770491803279,71.2574850299401,54.1899441340782,76.878612716763,69.6428571428571,71.2230215827338,77.9310344827586,89.7810218978102,63.6363636363636,44.3037974683544,75.8620689655172,BP
678,NaP,14,JAN,Y8,B,A,91.8,95.25,Y14,Y16,X,G,80.79,Y20,66.0377358490566,78.343949044586,56.3636363636364,80.3680981595092,49.1803278688525,65.2694610778443,63.1284916201117,75.7225433526012,58.9285714285714,74.1007194244604,77.9310344827586,64.963503649635,83.6363636363636,94.9367088607595,71.264367816092,BP
410,HaP,10,DEC,Y7,B,A,92.2,71.4,Y14,Y16,X,B,81.6,Y20,79.2452830188679,89.8089171974522,86.6666666666667,59.5092024539877,45.9016393442623,59.2814371257485,62.0111731843575,64.1618497109827,50,69.7841726618705,57.2413793103448,72.2627737226277,70.9090909090909,93.6708860759494,56.3218390804598,BP
996,DaP,14,OCT,Y6,A,I,85.6,75.4,Y14,Y16,X,B,79.5,Y20,54.7169811320755,82.1656050955414,76.969696969697,61.9631901840491,42.4590163934426,66.4670658682635,65.3631284916201,60.6936416184971,53.5714285714286,74.1007194244604,55.8620689655172,79.5620437956204,87.2727272727273,93.6708860759494,86.2068965517241,MP
1389,MaS,17,JUL,Y7,B,N,81.46,80.67,Y14,Y16,X,G,64.16,Y20,30.188679245283,49.0445859872611,64.8484848484849,63.1901840490798,39.344262295082,61.6766467065868,63.1284916201117,59.5375722543353,46.4285714285714,59.7122302158273,72.4137931034483,62.043795620438,58.1818181818182,75.9493670886076,47.1264367816092,BP
521,RnS,11,MAY,Y8,A,A,69,78.33,Y14,Y16,X,G,66.66,Y20,37.7358490566038,63.0573248407643,68.4848484848485,54.601226993865,32.7868852459016,67.6646706586826,51.9553072625698,51.4450867052023,44.6428571428571,72.6618705035971,57.2413793103448,62.043795620438,41.8181818181818,49.3670886075949,39.080459770115,LP
1388,SlK,13,MAR,Y8,B,N,87.06,81,Y14,Y16,X,D,77.1,Y20,54.7169811320755,63.0573248407643,69.6969696969697,73.0061349693252,31.1475409836066,54.4910179640719,63.1284916201117,53.757225433526,32.1428571428571,59.7122302158273,64.1379310344828,47.4452554744526,83.6363636363636,73.4177215189874,86.2068965517241,MP
1052,VmM,11,JAN,Y8,A,Q,75,67.7,Y14,Y16,X,B,74.9,Y20,30.188679245283,69.4267515923567,45.4545454545455,61.9631901840491,57.3770491803279,65.2694610778443,70.9497206703911,59.5375722543353,19.6428571428571,45.3237410071943,31.0344827586207,63.5036496350365,50.7272727272727,63.2911392405063,47.1264367816092,MD
1268,BaS,21,JAN,Y3,A,E,83.2,83.33,Y10,Y12,Z,G,71.25,Y20,28.3018867924528,60.5095541401274,60,47.239263803681,47.5409836065574,46.1077844311377,69.8324022346369,60.6936416184971,51.7857142857143,56.8345323741007,80.6896551724138,66.4233576642336,67.2727272727273,73.4177215189874,63.2183908045977,MP
222,AaS,13,DEC,Y7,A,J,80,81.6,Y14,Y16,X,B,76.05,Y20,64.1509433962264,74.5222929936306,69.6969696969697,80.3680981595092,63.9344262295082,82.0359281437126,83.2402234636871,84.971098265896,67.8571428571429,69.7841726618705,73.7931034482759,89.7810218978102,78.1818181818182,91.1392405063291,67.816091954023,BP
228,RaN,17,JAN,Y1,B,D,88.8,87.6,Y14,Y16,X,B,77.63,Y20,45.2830188679245,60.5095541401274,67.2727272727273,65.6441717791411,52.4590163934426,65.2694610778443,66.4804469273743,56.0693641618497,42.8571428571429,59.7122302158273,65.5172413793104,59.1240875912409,63.6363636363636,55.6962025316456,67.816091954023,MD
